date,mean,count,score
2018-04-27,0.16666666666666666,6,0.34905660377358494
2018-05-01,0.0,1,0.3450134770889488
2018-05-03,0.5,2,0.34636118598382754
2018-05-04,0.0,1,0.3450134770889488
2018-05-07,0.2,5,0.34838274932614555
2018-05-08,0.0,1,0.3450134770889488
2018-05-09,0.0,2,0.3450134770889488
2018-05-10,0.0,2,0.3450134770889488
2018-05-14,0.0,1,0.3450134770889488
2018-05-15,0.0,2,0.3450134770889488
2018-05-16,0.0,1,0.3450134770889488
2018-05-17,0.5,2,0.34636118598382754
2018-05-18,-0.5,2,0.3436657681940701
2018-05-20,0.0,1,0.3450134770889488
2018-05-21,1.0,1,0.34568733153638814
2018-05-22,0.0,1,0.3450134770889488
2018-05-23,0.0,2,0.3450134770889488
2018-05-24,0.0,2,0.3450134770889488
2018-05-25,0.0,2,0.3450134770889488
2018-05-30,1.0,1,0.34568733153638814
2018-06-01,0.0,1,0.3450134770889488
2018-06-04,0.375,8,0.3611859838274933
2018-06-05,0.0,2,0.3450134770889488
2018-06-06,0.5,2,0.34636118598382754
2018-06-07,0.0,1,0.3450134770889488
2018-06-11,-1.0,1,0.34433962264150947
2018-06-12,0.0,1,0.3450134770889488
2018-06-13,0.0,6,0.3450134770889488
2018-06-14,0.5,2,0.34636118598382754
2018-06-18,0.25,4,0.3477088948787062
2018-06-19,0.25,4,0.3477088948787062
2018-06-20,0.0,2,0.3450134770889488
2018-06-21,-1.0,1,0.34433962264150947
2018-06-22,1.0,1,0.34568733153638814
2018-06-24,0.0,1,0.3450134770889488
2018-06-25,0.0,1,0.3450134770889488
2018-06-26,-1.0,1,0.34433962264150947
2018-06-28,0.0,1,0.3450134770889488
2018-06-30,1.0,1,0.34568733153638814
2018-07-03,0.3333333333333333,3,0.3470350404312669
2018-07-06,1.0,1,0.34568733153638814
2018-07-09,1.0,1,0.34568733153638814
2018-07-10,-0.25,4,0.3423180592991914
2018-07-12,0.5,2,0.34636118598382754
2018-07-13,0.0,2,0.3450134770889488
2018-07-16,0.5,4,0.3504043126684636
2018-07-17,0.0,2,0.3450134770889488
2018-07-19,0.6,5,0.3551212938005391
2018-07-20,0.5714285714285714,7,0.3638814016172507
2018-07-23,0.25,4,0.3477088948787062
2018-07-24,-0.3333333333333333,3,0.34299191374663074
2018-07-26,-0.3333333333333333,3,0.34299191374663074
2018-07-27,-1.0,1,0.34433962264150947
2018-07-30,0.0,1,0.3450134770889488
2018-07-31,-0.5,2,0.3436657681940701
2018-08-01,-0.5,2,0.3436657681940701
2018-08-02,0.25,4,0.3477088948787062
2018-08-03,0.0,2,0.3450134770889488
2018-08-07,0.3333333333333333,6,0.353099730458221
2018-08-08,1.0,1,0.34568733153638814
2018-08-09,0.25,4,0.3477088948787062
2018-08-13,0.5,2,0.34636118598382754
2018-08-14,0.0,3,0.3450134770889488
2018-08-15,0.0,2,0.3450134770889488
2018-08-16,0.0,2,0.3450134770889488
2018-08-20,0.0,2,0.3450134770889488
2018-08-21,0.2857142857142857,7,0.35444743935309975
2018-08-22,0.2857142857142857,7,0.35444743935309975
2018-08-23,0.0,4,0.3450134770889488
2018-08-24,0.0,2,0.3450134770889488
