date,mean,count,score
2018-08-13,0.25,4,0.6785714285714285
2018-08-14,0.0,2,0.6774193548387096
2018-08-15,-1.0,1,0.6771313364055299
2018-08-16,0.0,5,0.6774193548387096
2018-08-17,-0.1111111111111111,9,0.6748271889400921
2018-08-19,0.0,1,0.6774193548387096
2018-08-20,0.3333333333333333,3,0.6782834101382488
2018-08-21,0.0,2,0.6774193548387096
2018-08-23,0.0,2,0.6774193548387096
2018-08-24,-1.0,1,0.6771313364055299
2018-08-25,-1.0,1,0.6771313364055299
2018-08-26,-1.0,1,0.6771313364055299
2018-08-27,-0.2,5,0.675979262672811
2018-08-28,0.25,4,0.6785714285714285
2018-08-29,-0.3333333333333333,3,0.6765552995391705
2018-08-31,0.0,1,0.6774193548387096
2018-09-04,0.0,1,0.6774193548387096
